,NODE,LTEXT
0,47,อุปกรณ์การจัดเก็บ
1,48,โคมไฟ
2,49,ของใช้ในครัว
3,50,สินค้าสำหรับเด็ก
4,51,กรอบรูปและภาพแขวน
5,52,นาฬิกา
6,53,อุปกรณ์เครื่องใช้ในห้องน้ำ
7,55,พรม
8,56,อุปกรณ์ตกแต่งสวน
9,57,หมอนอิงและสตูล
10,58,เครื่องหอมและสปา
11,62,อาร์มแชร์
12,A5,Wall Panel
13,A4,ฟิลม์
14,A1,Services
15,63,เฟอร์นิเจอร์เป่าลม
16,64,โซฟาหนังนาโน
17,65,โซฟาหนังนาโน/หนังสังเคราะห์
18,66,เก้าอี้พักผ่อนหนังนาโน
19,67,เก้าอี้พักผ่อนหนังนาโน/หนังสังเคราะห์
20,A2,Awning
21,A3,Home Automation
22,01,อุปกรณ์เสริม
23,02,ชุดห้องนอน
24,03,โต๊ะกลาง
25,04,เก้าอี้ทานอาหาร
26,05,โต๊ะทานอาหาร
27,06,โต๊ะข้าง
28,07,ของตกแต่งบ้าน
29,08,ชุดวางทีวี
30,09,ชุดห้องนอนเด็ก
31,10,ชุดครัว
32,11,พื้นไม้ลามิเนท
33,12,ห้องรับแขก
34,13,ที่นอน
35,14,เฟอร์นิเจอร์สำนักงาน
36,15,เฟอร์นิเจอร์สนาม
37,18,ตู้เก็บของ
38,19,ห้องแต่งตัว
39,20,ซีรีย์ตู้เสื้อผ้า
40,21,สินค้าสั่งทำ
41,22,เครื่องใช้ไฟฟ้า
42,23,ผนังตกแต่ง
43,27,ชุดผ้าปูที่นอน
44,28,ชุดเครื่องนอน หมอน หมอนข้าง
45,29,ม่าน
46,30,วอลล์เปเปอร์
47,31,เก้าอี้พักผ่อนผ้า
48,32,เก้าอี้พักผ่อนหนังแท้
49,33,เก้าอี้พักผ่อนหนังแท้ทั้งตัว
50,34,เก้าอี้พักผ่อนหนังสังเคราะห์
51,35,โซฟาผ้า
52,36,โซฟาหนังแท้
53,37,โซฟาหนังแท้ทั้งตัว
54,38,โซฟาหนังสังเคราะห์
55,39,อุปกรณ์รักษาความปลอดภัยภายในบ้าน
56,40,สินค้าเพื่อสุขภาพ
57,43,ของใช้บนโต๊ะอาหาร
58,44,อุปกรณ์เครื่องเขียนและเครื่องใช้สำนักงาน
59,45,แกดเจ็ต
60,46,กระจก
